index,cve,type,date
847,cve-2010-2709,,
848,cve-2010-2703,,
849,cve-2010-1555,,
850,cve-2010-1554,,
851,cve-2010-1964,,
852,cve-2007-6204,,
853,cve-2010-1961,,
854,cve-2013-4811,,
855,cve-2013-4812,,
856,cve-2013-4835,,
857,cve-2010-0188,,
858,cve-2013-5447,,
859,cve-2008-2240,,
860,cve-2008-2499,,
861,cve-2012-2175,,
862,cve-2012-2176,,
863,cve-2013-3026,,
864,cve-2012-0201,,
865,cve-2012-0708,,
866,cve-2012-0708,,
867,cve-2012-5945,,
868,cve-2012-5946,,
869,cve-2012-5946,,
870,cve-2012-5946,,
871,cve-2012-5945,,
872,cve-2014-0895,,
873,cve-2012-0198,,
874,cve-2013-4988,,
875,cve-2013-4988,,
876,cve-2011-2089,,
877,cve-2010-0806,,
878,cve-2010-0483,,
879,cve-2000-1089,,
880,cve-2017-7269,,
881,cve-2016-3714,,
882,cve-2016-3715,,
883,cve-2016-3716,,
884,cve-2016-3717,,
885,cve-2016-3717,,
886,cve-2011-0340,,
887,cve-2017-5689,,
888,cve-2010-3962,,
889,cve-2013-3184,,
890,cve-2013-3184,,
891,cve-2013-3918,,
892,cve-2013-3918,,
893,cve-2013-3918,,
894,cve-2014-0307,,
895,cve-2014-0322,,
896,cve-2014-0324,,
897,cve-2014-0324,,
898,cve-2015-2444,,
899,cve-2015-2515,,
900,cve-2015-6135,,
901,cve-2012-0897,,
902,cve-2012-0897,,
903,cve-2013-3944,,
904,cve-2012-1533,,
905,cve-2012-5076,,
906,cve-2013-0431,,
907,cve-2013-0431,,
908,cve-2013-1488,,
909,cve-2013-1493,,
910,cve-2013-1493,,
911,cve-2013-2423,,
912,cve-2013-2423,,
913,cve-2010-0886,,
914,cve-2010-0886,,
915,cve-2013-0422,,
916,cve-2013-0422,,
917,cve-2010-3552,,
918,cve-2016-8870,,
919,cve-2012-0507,,
920,cve-2012-0507,,
921,cve-2012-0507,,
922,cve-2012-0507,,
923,cve-2012-4681,,
924,cve-2012-4681,,
925,cve-2010-0842,,
926,cve-2010-0840,,
927,cve-2010-0840,,
928,cve-2010-0840,,
929,cve-2010-0840,,
930,cve-2010-0840,,
931,cve-2010-0840,,
932,cve-2010-0840,,
933,cve-2010-0840,,
934,cve-2012-1196,,
935,cve-2015-1397,,
936,cve-2013-0422,,
937,cve-2012-1535,,
938,cve-2014-3996,,
939,cve-1999-1011,,
940,cve-2015-5995,,
941,cve-2014-1610,,
942,cve-2014-1610,,
943,cve-2012-0158,,
944,cve-2012-0158,,
945,cve-2016-3294,,
946,cve-2016-3377,,
947,cve-2016-3386,,
948,cve-2016-7189,,
949,cve-2016-7190,,
950,cve-2016-7194,,
951,cve-2016-7200,,
952,cve-2012-0105,,
953,cve-2012-1876,,
954,cve-1999-0874,,
955,cve-2001-0333,,
956,cve-2016-3295,,
957,cve-2016-3325,,
958,cve-2016-3351,,
959,cve-2016-3351,,
960,cve-2016-3382,,
961,cve-2013-0025,,
962,cve-2013-1288,,
963,cve-2013-1298,,
964,cve-2013-3205,,
965,cve-2013-3205,,
966,cve-2016-0189,,
967,cve-2016-0189,,
968,cve-2016-3298,,
969,cve-2016-3298,,
970,cve-2016-3375,,
971,cve-2016-3383,,
972,cve-2016-3385,,
973,cve-2013-1311,,
974,cve-2013-1331,,
975,cve-2013-1331,,
976,cve-2013-3906,,
977,cve-2013-3906,,
978,cve-2015-0097,,
979,cve-2015-2545,,
980,cve-2015-2545,,
981,cve-2014-6332,,
982,cve-2014-6332,,
983,cve-2014-6332,,
984,cve-2014-6332,,
985,cve-2014-4114,,
986,cve-2014-6352,,
987,cve-2014-6352,,
988,cve-2014-6352,,
989,cve-2012-1859,,
990,cve-2011-3402,,
991,cve-2011-3402,,
992,cve-2011-3402,,
993,cve-2012-1528,,
994,cve-2010-1885,,
995,cve-2010-1885,,
996,cve-2016-3236,,
997,cve-2012-0003,,
998,cve-2010-4742,,
999,cve-2015-0986,,
1000,cve-2011-3658,,
1001,cve-2011-3659,,
1002,cve-2013-1710,,
1003,cve-2014-1510,,
1004,cve-2014-1510,,
1005,cve-2009-2477,,
1006,cve-2009-2477,,
1007,cve-2011-2371,,
1008,cve-2013-0753,,
1009,cve-2013-0758,,
1010,cve-2013-0758,,
1011,cve-2013-1670,,
1012,cve-2013-1690,,
1013,cve-2013-1690,,
1014,cve-2015-4495,,
1015,cve-2016-9899,,
1016,cve-2015-0816,,
1017,cve-2011-0065,,
1018,cve-2017-0227,,
1019,cve-2017-0228,,
1020,cve-2017-0240,,
1021,cve-2017-8605,,
1022,cve-2017-8617,,
1023,cve-2010-0188,,
1024,cve-2010-0248,,
1025,cve-2010-3962,,
1026,cve-2010-0249,,
1027,cve-2010-3962,,
1028,cve-2011-1260,,
1029,cve-2012-4792,,
1030,cve-2012-4792,,
1031,cve-2013-2551,,
1032,cve-2013-2551,,
1033,cve-2013-2551,,
1034,cve-2013-2551,,
1035,cve-2013-2551,,
1036,cve-2014-8967,,
1037,cve-2015-0041,,
1038,cve-2015-0053,,
1039,cve-2015-0072,,
1040,cve-2015-0072,,
1041,cve-2015-0072,,
1042,cve-2015-1657,,
1043,cve-2015-2413,,
1044,cve-2015-2419,,
1045,cve-2015-2502,,
1046,cve-2015-6048,,
1047,cve-2015-6141,,
1048,cve-2015-6163,,
1049,cve-2016-0001,,
1050,cve-2016-0063,,
1051,cve-2016-0113,,
1052,cve-2016-0199,,
1053,cve-2016-3205,,
1054,cve-2017-0037,,
1055,cve-2017-0037,,
1056,cve-2017-0208,,
1057,cve-2017-8496,,
1058,cve-2017-8497,,
1059,cve-2017-8529,,
1060,cve-2012-4969,,
1061,cve-2012-4969,,
1062,cve-2012-4969,,
1063,cve-2012-4969,,
1064,cve-2012-2548,,
1065,cve-2013-3145,,
1066,cve-2013-3893,,
1067,cve-2013-3893,,
1068,cve-2013-3893,,
1069,cve-2013-3893,,
1070,cve-2015-2502,,
1071,cve-2012-1889,,
1072,cve-2012-1889,,
1073,cve-2012-1889,,
1074,cve-2012-1889,,
1075,cve-2003-0344,,
1076,cve-2011-1996,,
1077,cve-2007-0945,,
1078,cve-2006-3605,,
1079,cve-2012-1875,,
1080,cve-2012-1875,,
1081,cve-2012-4792,,
1082,cve-2012-4792,,
1083,cve-2012-4792,,
1084,cve-2012-4792,,
1085,cve-2012-4792,,
1086,cve-2012-4792,,
1087,cve-2012-4792,,
1088,cve-2013-0025,,
1089,cve-2013-1347,,
1090,cve-2013-1347,,
1091,cve-2013-1347,,
1092,cve-2013-1347,,
1093,cve-2013-3893,,
1094,cve-2014-0322,,
1095,cve-2014-1776,,
1096,cve-2014-1776,,
1097,cve-2014-1815,,
1098,cve-2013-7331,,
1099,cve-2013-7331,,
1100,cve-2013-7331,,
1101,cve-2013-7331,,
1102,cve-2013-7331,,
1103,cve-2000-0302,,
1104,cve-2010-0806,,
1105,cve-2012-1875,,
1106,cve-2013-0074,,
1107,cve-2013-0074,,
1108,cve-2013-0074,,
1109,cve-2013-0074,,
1110,cve-2016-0034,,
1111,cve-2016-0034,,
1112,cve-2012-2897,,
1113,cve-2015-2426,,
1114,cve-2017-6334,,
1115,cve-2013-2618,,
1116,cve-2011-2653,,
1117,cve-2012-0439,,
1118,cve-2012-0439,,
1119,cve-2010-1527,,
1120,cve-2010-3106,,
1121,cve-2008-0935,,
1122,cve-2008-2908,,
1123,cve-2010-4321,,
1124,cve-2013-1091,,
1125,cve-2011-2657,,
1126,cve-2012-0266,,
1127,cve-2012-0266,,
1128,cve-2012-0267,,
1129,cve-2014-6332,,
1130,cve-2009-4140,,
1131,cve-2012-0549,,
1132,cve-2012-0549,,
1133,cve-2014-4278,,
1134,cve-2012-3153,,
1135,cve-2013-1491,,
1136,cve-2013-5838,,
1137,cve-2011-3544,,
1138,cve-2011-3544,,
1139,cve-2011-3544,,
1140,cve-2012-1723,,
1141,cve-2013-2463,,
1142,cve-2013-2465,,
1143,cve-2013-2465,,
1144,cve-2013-2470,,
1145,cve-2012-1723,,
1146,cve-2013-1516,,
1147,cve-2013-1516,,
1148,cve-2013-1559,,
1149,cve-2008-1602,,
1150,cve-2011-4044,,
1151,cve-2011-4044,,
1152,cve-2013-4986,,
1153,cve-2012-1823,,
1154,cve-2015-2208,,
1155,cve-2014-5519,,
1156,cve-2012-5896,,
1157,cve-2012-5896,,
1158,cve-2013-6877,,
1159,cve-2008-1309,,
1160,cve-2014-6287,,
1161,cve-2013-6026,,
1162,cve-2014-3914,,
1163,cve-2014-5424,,
1164,cve-2012-0779,,
1165,cve-2013-0333,,
1166,cve-2015-7007,,
1167,cve-2017-2316,,
1168,cve-2010-2590,,
1169,cve-2010-2590,,
1170,cve-2010-2590,,
1171,cve-2014-0774,,
1172,cve-2000-0207,,
1173,cve-2013-0674,,
1174,cve-2013-0674,,
1175,cve-2010-3563,,
1176,cve-2012-0500,,
1177,cve-2011-2107,,
1178,cve-2015-1486,,
1179,cve-2015-1487,,
1180,cve-2017-6326,,
1181,cve-2012-0299,,
1182,cve-2012-2953,,
1183,cve-2014-1649,,
1184,cve-2009-0441,,
1185,cve-2013-2645,,
1186,cve-2012-4876,,
1187,cve-2012-4876,,
1188,cve-2012-4177,,
1189,cve-2009-1260,,
1190,cve-2010-5193,,
1191,cve-2014-8516,,
1192,cve-2012-1775,,
1193,cve-2010-3275,,
1194,cve-2011-0531,,
1195,cve-2008-5036,,
1196,cve-2013-6934,,
1197,cve-2009-3733,,
1198,cve-2013-3214,,
1199,cve-2013-6935,,
1200,cve-2006-4690,,
1201,cve-2013-2827,,
1202,cve-2015-2509,,
1203,cve-2014-6446,,
