CVE,Website Name,Disclosed Date
CVE-2007-0934,Symantec,
CVE-2007-0936,Symantec,
CVE-2013-0634,Symantec,
CVE-2006-6561,Symantec,
CVE-2011-2140,Symantec,
CVE-2017-0290,Symantec,
CVE-2006-4690,Symantec,
CVE-2006-4691,Symantec,
CVE-2016-10033,Symantec,
CVE-2006-5745,Symantec,
CVE-2010-2568,Symantec,
CVE-2008-4250,Symantec,
CVE-2017-9791,Symantec,
CVE-2005-2715,Symantec,
CVE-2014-6321,Symantec,
CVE-2010-0188,Symantec,
CVE-2017-3881,Symantec,
CVE-2012-2897,Symantec,
CVE-2006-4777,Symantec,
CVE-2017-0228,Symantec,
CVE-2013-3918,Symantec,
CVE-2015-2509,Symantec,
CVE-2011-1996,Symantec,
CVE-2014-4148,Symantec,2014-10-28
CVE-2011-1999,Symantec,
CVE-2012-4969,Symantec,
CVE-2016-3382,Symantec,2016-10-13
CVE-2006-3638,Symantec,
CVE-2016-0147,Symantec,2016-04-24
CVE-2017-8529,Symantec,
CVE-2010-3333,Symantec,
CVE-2007-3895,Symantec,
CVE-2015-7645,Symantec,2015-10-17
CVE-2014-8636,Symantec,
CVE-2012-1528,Symantec,
CVE-2010-0842,Symantec,
CVE-2014-0322,Symantec,
CVE-2012-4681,Symantec,
CVE-2014-6446,Symantec,
CVE-2008-0081,Symantec,
CVE-2006-3747,Symantec,
CVE-2014-2624,Symantec,
CVE-2010-1297,Symantec,
CVE-2011-3659,Symantec,
CVE-2013-2251,Symantec,
CVE-2013-0074,Symantec,
CVE-2009-0563,Symantec,
CVE-2017-0144,Symantec,
CVE-2016-0034,Symantec,2016-01-14
CVE-2006-5559,Symantec,
CVE-2013-1966,Symantec,
CVE-2014-7169,Symantec,
CVE-2013-1670,Symantec,
CVE-2014-1815,Symantec,2014-05-14
CVE-2013-2551,Symantec,
CVE-2007-2222,Symantec,
CVE-2007-2223,Symantec,
CVE-2017-5638,Symantec,
CVE-2016-3081,Symantec,
CVE-2007-4677,Symantec,
CVE-2007-4675,Symantec,
CVE-2007-3456,Symantec,
CVE-2014-4114,Symantec,2014-10-14
CVE-2017-9073,Symantec,
CVE-2016-7434,Symantec,
CVE-2006-4446,Symantec,
CVE-2015-8562,Symantec,
CVE-2001-0144,Symantec,
CVE-2006-2372,Symantec,
CVE-2016-4226,Symantec,2016-08-02
CVE-2016-0199,Symantec,2016-10-10
CVE-2016-2776,Symantec,
CVE-2015-2444,Symantec,
CVE-2009-3733,Symantec,
CVE-2014-0569,Symantec,2014-10-24
CVE-2008-0033,Symantec,
CVE-2011-2039,Rapid7,2011-06-01
CVE-2006-2370,Rapid7,2006-06-13
MS10-061,Rapid7,2010-09-14
CVE-2011-3402,Rapid7,
CVE-2015-0235,Rapid7,
CVE-2015-0235,Rapid7,2015-01-27
MS10-065,Rapid7,2010-07-02
MS09-072,Rapid7,2009-11-20
CVE-2015-0336,Rapid7,2015-03-12
CVE-2013-1428,Rapid7,2013-04-22
CVE-2009-3129,Rapid7,2009-11-10
CVE-2010-1240,Rapid7,2010-03-29
CVE-2015-1497,Rapid7,2014-01-02
CVE-2017-0199,Rapid7,2017-04-14
CVE-2009-2990,Rapid7,2009-10-13
CVE-2016-6415,Rapid7,2016-09-29
CVE-2014-7992,Rapid7,2014-11-17
CVE-2008-4037,Rapid7,2001-03-31
CVE-2014-6332,Rapid7,2014-11-13
CVE-2010-1871,Rapid7,2010-07-19
CVE-2015-0240,Rapid7,
CVE-2006-0003,Rapid7,2006-04-11
MS13-022,Rapid7,2013-03-12
CVE-2010-1961,Rapid7,2010-06-16
