cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2016-0005,,,2016-01-12,f
cve-2016-1241,,,2016-09-07,f
cve-2015-3182,,,2016-01-03,f
cve-2015-7938,,,2016-01-08,f
cve-2015-3854,,,2016-08-07,f
cve-2015-4920,,,2016-01-20,f
cve-2015-4959,,,2016-01-17,f
cve-2015-3569,,,2016-04-26,f
cve-2014-3806,,,2014-05-21,t
cve-2016-0563,,,2016-01-20,f
cve-2017-6297,,,2017-02-27,f
cve-2015-5331,,,2016-02-21,f
cve-2015-5347,,,2016-04-12,f
cve-2015-5727,,,2016-05-13,f
cve-2014-5023,,,2014-07-22,f
cve-2010-0211,,2010-07-19,2010-07-27,f
cve-2010-0235,,,2010-04-14,f
cve-2010-0274,,,2010-01-09,f
cve-2015-6393,,,2016-10-06,f
cve-2015-8948,,,2016-09-07,f
cve-2016-1703,,,2016-06-05,f
cve-2015-6551,,,2016-05-07,f
cve-2016-0858,2016-02-05,,2016-01-14,f
cve-2013-2787,,,2013-10-13,f
cve-2010-0277,,,2010-01-09,f
cve-2012-3199,,,2012-10-16,f
cve-2016-5899,,,2017-02-01,f
cve-2015-6931,,,2016-07-02,f
cve-2016-6463,,,2016-11-18,f
cve-2016-6643,,,2016-09-17,f
cve-2016-6739,,,2016-11-25,f
cve-2016-6745,,,2016-11-25,f
cve-2016-6827,,,2016-09-26,f
cve-2016-6899,,,2016-09-07,f
cve-2010-0318,,,2010-01-15,f
cve-2013-6125,,,2015-01-04,f
cve-2010-0442,,2010-01-27,2010-02-02,f
cve-2016-6935,,,2016-10-13,f
cve-2014-9275,,,2014-12-09,f
cve-2014-0666,,,2014-01-16,f
cve-2016-0900,,,2016-05-07,f
cve-2016-7039,,,2016-10-16,f
cve-2016-7044,,,2016-09-27,f
cve-2016-7236,,,2016-11-10,f
cve-2015-4610,,,2015-06-16,f
cve-2016-7960,,,2016-10-13,f
cve-2013-3235,,,2013-04-22,f
cve-2013-3238,,2013-04-25,2013-04-25,t
cve-2016-9117,,,2016-10-30,f
cve-2016-8281,,,2016-10-25,f
