cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2015-1732,,,2015-06-09,f
cve-2015-1766,,,2015-06-09,f
cve-2015-1979,,,2015-07-19,f
cve-2015-7656,2015-11-10,,2015-11-11,f
cve-2015-7629,2015-10-13,,2015-10-14,f
cve-2015-1211,,,2015-02-06,f
cve-2015-7631,2015-10-13,,2015-10-14,f
cve-2015-7632,2015-10-13,,2015-10-14,f
cve-2015-7654,2015-11-10,,2015-11-11,f
cve-2015-7663,,,2015-11-11,f
cve-2015-5122,,2015-07-13,2015-07-14,t
cve-2015-1730,,2016-12-06,2015-06-09,t
cve-2015-1722,,2015-09-22,2015-06-09,f
cve-2015-0330,,,2015-02-05,f
cve-2015-1731,,,2015-06-09,f
cve-2015-1755,2015-06-11,,2015-06-09,f
cve-2015-2501,2015-09-08,,2015-09-08,f
cve-2015-7655,2015-11-10,,2015-11-11,f
cve-2015-5565,,,2015-08-13,f
cve-2015-6038,2015-11-10,,2015-11-11,f
cve-2015-6175,,,2015-12-09,f
cve-2015-6184,,,2016-03-09,f
cve-2016-0147,,,2016-04-12,f
cve-2016-7221,,,2016-11-10,f
cve-2015-1347,,,2015-01-23,f
cve-2015-5876,,,2015-09-18,f
cve-2015-0328,,,2015-02-05,f
cve-2015-2112,,,2015-04-14,f
cve-2015-7643,2015-10-13,,2015-10-14,f
cve-2015-7653,2015-11-10,,2015-11-11,f
cve-2015-0322,,,2015-02-05,f
cve-2015-0346,,,2015-04-14,f
cve-2015-1764,,,2015-06-09,f
cve-2015-1676,2015-05-12,2015-05-18,2015-05-13,f
cve-2015-2361,,,2015-07-14,f
cve-2015-2452,2015-08-11,,2015-08-14,f
cve-2016-0199,,,2016-06-15,t
cve-2016-0189,,,2016-05-10,f
cve-2015-6757,,,2015-10-15,f
cve-2016-4173,,,2016-07-12,f
cve-2015-1657,,,2015-04-14,f
cve-2015-0313,,2015-03-31,2015-02-02,t
cve-2016-7256,,,2016-11-10,f
cve-2015-0310,,,2015-01-23,f
cve-2016-4110,,,2016-05-11,f
cve-2016-4151,,,2016-06-16,f
cve-2015-0356,,,2015-04-14,f
cve-2015-8021,,,2016-04-12,f
cve-2016-0053,,,2016-02-10,f
cve-2016-0196,2016-05-10,,2016-05-10,f
cve-2015-2590,,,2015-07-16,f
cve-2016-1009,2016-03-08,,2016-03-09,f
cve-2016-1015,2016-04-08,,2016-04-08,f
cve-2016-1059,2016-05-10,,2016-05-11,f
cve-2016-3979,,,2016-04-08,f
cve-2016-3233,,,2016-06-15,f
cve-2016-3293,,,2016-08-09,f
cve-2016-4192,,,2016-07-12,f
cve-2016-4132,,,2016-06-16,f
cve-2016-4276,2016-09-16,,2016-09-14,f
cve-2016-7892,,,2016-12-15,f
cve-2015-3080,,2015-08-19,2015-05-13,f
cve-2015-3093,,2015-08-19,2015-05-13,f
cve-2015-0323,,,2015-02-05,f
cve-2015-8418,,,2015-12-09,f
cve-2015-5123,,,2015-07-14,f
cve-2016-5729,,,2016-06-30,f
cve-2015-1708,,,2015-05-13,f
cve-2015-7633,,,2015-10-14,f
cve-2016-7382,,,2016-11-08,f
cve-2015-7520,,,2016-04-12,f
cve-2016-0193,2016-05-10,,2016-05-10,f
cve-2015-3101,,,2015-06-09,f
cve-2016-0127,,,2016-04-12,f
cve-2016-7865,2016-11-08,,2016-11-08,f
cve-2016-1318,,,2016-02-08,f
cve-2016-1058,2016-05-10,,2016-05-11,f
cve-2016-7238,,,2016-11-10,f
cve-2015-3041,,,2015-04-14,f
cve-2015-1062,,,2015-03-12,f
cve-2016-7855,,,2016-11-01,f
cve-2015-1736,2015-06-11,,2015-06-09,f
cve-2015-5130,,2015-08-19,2015-08-13,f
cve-2016-4128,,,2016-06-16,f
cve-2016-4137,,2016-07-11,2016-06-16,f
cve-2015-1733,,,2015-07-14,f
cve-2015-6086,2015-11-10,2016-04-14,2015-11-11,t
cve-2015-1641,,,2015-04-14,f
cve-2015-2521,,2015-09-16,2015-09-08,f
cve-2016-4959,,,2016-11-08,f
cve-2015-7630,,,2015-10-14,f
cve-2015-3923,,,2015-06-10,f
cve-2016-7283,,,2016-12-20,f
cve-2015-6071,,,2015-11-11,f
cve-2016-3294,2016-09-16,,2016-09-14,f
cve-2015-0235,,2015-03-18,2015-01-28,f
cve-2015-5119,,2015-07-08,2015-07-08,f
cve-2016-3205,,,2016-06-15,f
cve-2016-3382,2016-10-11,,2016-10-13,f
cve-2015-5561,,2015-08-19,2015-08-13,f
cve-2015-5554,,2015-08-19,2015-08-13,f
cve-2015-5134,,2015-08-19,2015-08-13,f
cve-2016-4179,,2016-07-13,2016-07-12,f
cve-2016-8807,,2016-10-31,2016-11-08,f
cve-2016-3295,2016-09-16,,2016-09-14,f
cve-2016-7200,,2016-11-18,2016-11-10,f
cve-2016-3351,,,2016-09-14,f
cve-2016-7202,2016-11-08,2016-11-18,2016-11-10,f
cve-2015-0311,,2015-03-12,2015-01-23,f
cve-2015-7652,2015-11-10,2015-12-17,2015-11-11,f
cve-2016-4228,,2016-08-29,2016-07-12,f
cve-2016-8808,,2016-10-31,2016-11-08,f
cve-2016-1019,,,2016-04-07,f
cve-2016-3385,,,2016-10-13,f
cve-2016-0113,2016-03-08,,2016-03-09,f
cve-2016-1007,2016-03-08,,2016-03-09,f
cve-2015-0097,,,2015-03-11,f
cve-2015-3113,,,2015-06-23,f
cve-2016-3375,2017-01-10,,2016-09-14,f
cve-2016-3377,2016-09-16,,2016-09-14,f
cve-2015-0336,,2015-05-08,2015-03-13,t
cve-2015-1701,,2015-06-24,2015-04-21,t
cve-2016-4004,,2016-02-23,2016-04-12,t
cve-2016-2210,,2016-06-29,2016-06-30,f
cve-2016-4231,,2016-09-08,2016-07-12,f
cve-2016-7226,,2016-11-15,2016-11-10,f
cve-2015-7729,,,2015-10-15,f
cve-2015-3097,,,2015-06-09,f
cve-2015-1512,,,2015-02-06,f
cve-2016-6925,,,2016-09-14,f
cve-2016-4144,,,2016-06-16,f
cve-2016-0200,2016-06-15,,2016-06-15,f
cve-2016-7859,2016-11-08,,2016-11-08,f
cve-2016-2557,,,2016-04-12,f
cve-2015-7645,,2015-10-19,2015-10-15,t
cve-2016-2209,,2016-06-29,2016-06-30,f
cve-2016-3645,,2016-06-29,2016-06-30,f
cve-2016-4275,,2016-09-23,2016-09-14,f
cve-2016-4226,,2016-08-29,2016-07-12,f
cve-2016-4212,,,2016-07-12,f
cve-2015-2426,,2015-09-17,2015-07-20,f
cve-2016-0169,,2016-05-17,2016-05-10,f
cve-2016-3216,,2016-06-21,2016-06-15,f
cve-2016-3644,,2016-06-29,2016-06-30,f
cve-2016-3646,,2016-06-29,2016-06-30,f
cve-2016-3247,2016-09-16,2016-11-21,2016-09-14,f
cve-2016-4210,,,2016-07-12,f
cve-2016-0164,,,2016-04-12,f
cve-2016-7227,,,2016-11-10,f
cve-2016-1757,,2016-03-23,2016-03-23,t
cve-2015-4204,,,2015-06-23,f
cve-2015-8307,,,2016-04-07,f
cve-2016-3218,,,2016-06-15,f
cve-2016-0063,2016-02-10,2016-11-28,2016-02-10,t
cve-2016-3244,,,2016-07-12,f
cve-2016-7297,,,2016-12-20,f
cve-2016-7262,,,2016-12-20,f
cve-2016-0191,2016-05-10,,2016-05-10,f
cve-2016-1005,2016-03-10,,2016-03-12,f
cve-2016-2141,,,2016-06-30,f
cve-2016-4130,,,2016-06-16,f
cve-2016-4136,,2016-07-11,2016-06-16,f
cve-2016-4183,,,2016-07-12,f
cve-2016-7389,,,2016-11-08,f
cve-2016-4203,,2016-07-13,2016-07-12,f
cve-2016-7858,2016-11-08,,2016-11-08,f
cve-2016-0124,,,2016-03-09,f
cve-2016-7201,,2016-11-18,2016-11-10,f
cve-2016-0171,,2016-06-15,2016-05-10,t
cve-2015-6541,,,2016-04-08,t
cve-2015-5458,,,2015-07-08,f
cve-2016-7234,,,2016-11-10,f
cve-2016-0158,2016-04-12,,2016-04-12,f
cve-2015-1648,,,2015-04-14,f
cve-2015-1699,,,2015-05-13,f
cve-2015-1747,2015-06-11,,2015-06-09,f
cve-2015-8641,,,2015-12-28,f
cve-2016-4124,,,2016-06-16,f
cve-2016-1016,2016-04-08,,2016-04-08,f
cve-2016-1010,,,2016-03-12,f
cve-2016-0030,,,2016-01-12,f
cve-2016-0031,,,2016-01-12,f
cve-2016-5306,,,2016-06-30,f
cve-2015-6172,,,2015-12-09,f
cve-2015-1694,,,2015-05-13,f
cve-2015-3235,,,2015-08-14,f
cve-2015-0325,,,2015-02-05,f
cve-2015-6065,2016-03-02,,2015-11-11,f
cve-2015-1665,2015-04-15,,2015-04-14,f
