cve,assign_date,edb_date,date_diff
CVE-2015-0207,2014-11-18,,
CVE-2015-0208,2014-11-18,,
CVE-2015-0209,2014-11-18,,
CVE-2015-0211,2014-11-18,,
CVE-2015-0212,2014-11-18,,
CVE-2015-0213,2014-11-18,,
CVE-2015-0214,2014-11-18,,
CVE-2015-0215,2014-11-18,,
CVE-2015-0216,2014-11-18,,
CVE-2015-0217,2014-11-18,,
CVE-2015-0218,2014-11-18,,
CVE-2015-0219,2014-11-18,,
CVE-2015-0220,2014-11-18,,
CVE-2015-0221,2014-11-18,,
CVE-2015-0222,2014-11-18,,
CVE-2015-0223,2014-11-18,,
CVE-2015-0225,2014-11-18,,
CVE-2015-0227,2014-11-18,,
CVE-2015-0228,2014-11-18,,
CVE-2015-0231,2014-11-18,,
CVE-2015-0232,2014-11-18,,
CVE-2015-0235,2014-11-18,2015-03-18,120
CVE-2015-0236,2014-11-18,,
CVE-2015-0237,2014-11-18,,
CVE-2015-0239,2014-11-18,,
CVE-2015-0240,2014-11-18,,
CVE-2015-0245,2014-11-18,,
CVE-2015-0247,2014-11-18,,
CVE-2015-0248,2014-11-18,,
CVE-2015-0250,2014-11-18,,
CVE-2015-0251,2014-11-18,,
CVE-2015-0252,2014-11-18,,
CVE-2015-0253,2014-11-18,,
CVE-2015-0254,2014-11-18,,
CVE-2015-0255,2014-11-18,,
CVE-2015-0257,2014-11-18,,
CVE-2015-0259,2014-11-18,,
CVE-2015-0260,2014-11-18,,
CVE-2015-0261,2014-11-18,,
CVE-2015-0263,2014-11-18,,
CVE-2015-0264,2014-11-18,,
CVE-2015-0265,2014-11-18,,
CVE-2015-0266,2014-11-18,,
CVE-2015-0267,2014-11-18,,
CVE-2015-0268,2014-11-18,,
CVE-2015-0271,2014-11-18,,
CVE-2015-0272,2014-11-18,,
CVE-2015-0273,2014-11-18,,
CVE-2015-0274,2014-11-18,,
CVE-2015-0275,2014-11-18,,
CVE-2015-0277,2014-11-18,,
CVE-2015-0278,2014-11-18,,
CVE-2015-0279,2014-11-18,,
CVE-2015-0282,2014-11-18,,
CVE-2015-0283,2014-11-18,,
CVE-2015-0284,2014-11-18,,
CVE-2015-0285,2014-11-18,,
CVE-2015-0286,2014-11-18,,
CVE-2015-0287,2014-11-18,,
CVE-2015-0288,2014-11-18,,
CVE-2015-0289,2014-11-18,,
CVE-2015-0290,2014-11-18,,
CVE-2015-0291,2014-11-18,,
CVE-2015-0292,2014-11-18,,
CVE-2015-0293,2014-11-18,,
CVE-2015-0295,2014-11-18,,
CVE-2015-0297,2014-11-18,,
CVE-2015-0298,2014-11-18,,
CVE-2015-0299,2014-11-18,,
CVE-2015-0301,2014-12-01,,
CVE-2015-0302,2014-12-01,,
CVE-2015-0303,2014-12-01,,
CVE-2015-0304,2014-12-01,,
CVE-2015-0305,2014-12-01,,
CVE-2015-0306,2014-12-01,,
CVE-2015-0307,2014-12-01,,
CVE-2015-0308,2014-12-01,,
CVE-2015-0309,2014-12-01,,
CVE-2015-0310,2014-12-01,,
CVE-2015-0311,2014-12-01,2015-03-12,101
CVE-2015-0312,2014-12-01,,
CVE-2015-0313,2014-12-01,2015-03-31,120
CVE-2015-0314,2014-12-01,,
CVE-2015-0315,2014-12-01,,
CVE-2015-0316,2014-12-01,,
CVE-2015-0317,2014-12-01,,
CVE-2015-0318,2014-12-01,2015-03-17,106
CVE-2015-0319,2014-12-01,,
CVE-2015-0320,2014-12-01,,
CVE-2015-0321,2014-12-01,,
CVE-2015-0322,2014-12-01,,
CVE-2015-0323,2014-12-01,,
CVE-2015-0324,2014-12-01,,
CVE-2015-0325,2014-12-01,,
CVE-2015-0326,2014-12-01,,
CVE-2015-0327,2014-12-01,,
CVE-2015-0328,2014-12-01,,
CVE-2015-0329,2014-12-01,,
CVE-2015-0330,2014-12-01,,
CVE-2015-0331,2014-12-01,,
CVE-2015-0332,2014-12-01,,
CVE-2015-0333,2014-12-01,,
CVE-2015-0334,2014-12-01,,
CVE-2015-0335,2014-12-01,,
CVE-2015-0336,2014-12-01,2015-05-08,158
CVE-2015-0337,2014-12-01,,
CVE-2015-0338,2014-12-01,,
CVE-2015-0339,2014-12-01,,
CVE-2015-0340,2014-12-01,,
CVE-2015-0341,2014-12-01,,
CVE-2015-0342,2014-12-01,,
CVE-2015-0343,2014-12-01,,
CVE-2015-0344,2014-12-01,,
CVE-2015-0345,2014-12-01,,
CVE-2015-0346,2014-12-01,,
CVE-2015-0347,2014-12-01,,
CVE-2015-0348,2014-12-01,,
CVE-2015-0349,2014-12-01,,
CVE-2015-0350,2014-12-01,,
CVE-2015-0351,2014-12-01,,
CVE-2015-0352,2014-12-01,,
CVE-2015-0353,2014-12-01,,
CVE-2015-0354,2014-12-01,,
CVE-2015-0355,2014-12-01,,
CVE-2015-0356,2014-12-01,,
CVE-2015-0357,2014-12-01,,
CVE-2015-0358,2014-12-01,,
CVE-2015-0359,2014-12-01,2015-05-08,158
CVE-2015-0360,2014-12-01,,
CVE-2015-0361,2014-12-17,,
CVE-2015-0362,2014-12-17,,
CVE-2015-0363,2014-12-17,,
CVE-2015-0364,2014-12-17,,
CVE-2015-0365,2014-12-17,,
CVE-2015-0366,2014-12-17,,
CVE-2015-0367,2014-12-17,,
CVE-2015-0368,2014-12-17,,
CVE-2015-0369,2014-12-17,,
CVE-2015-0370,2014-12-17,,
CVE-2015-0371,2014-12-17,,
CVE-2015-0372,2014-12-17,,
CVE-2015-0373,2014-12-17,,
CVE-2015-0374,2014-12-17,,
CVE-2015-0375,2014-12-17,,
CVE-2015-0376,2014-12-17,,
CVE-2015-0377,2014-12-17,,
CVE-2015-0378,2014-12-17,,
CVE-2015-0379,2014-12-17,,
CVE-2015-0380,2014-12-17,,
CVE-2015-0381,2014-12-17,,
CVE-2015-0382,2014-12-17,,
CVE-2015-0383,2014-12-17,,
CVE-2015-0384,2014-12-17,,
CVE-2015-0385,2014-12-17,,
CVE-2015-0386,2014-12-17,,
CVE-2015-0387,2014-12-17,,
CVE-2015-0388,2014-12-17,,
CVE-2015-0389,2014-12-17,,
CVE-2015-0390,2014-12-17,,
CVE-2015-0391,2014-12-17,,
CVE-2015-0392,2014-12-17,,
CVE-2015-0393,2014-12-17,,
CVE-2015-0394,2014-12-17,,
CVE-2015-0395,2014-12-17,,
CVE-2015-0396,2014-12-17,,
CVE-2015-0397,2014-12-17,,
CVE-2015-0398,2014-12-17,,
CVE-2015-0399,2014-12-17,,
CVE-2015-0400,2014-12-17,,
CVE-2015-0401,2014-12-17,,
CVE-2015-0402,2014-12-17,,
CVE-2015-0403,2014-12-17,,
CVE-2015-0404,2014-12-17,,
CVE-2015-0405,2014-12-17,,
CVE-2015-0406,2014-12-17,,
CVE-2015-0407,2014-12-17,,
CVE-2015-0408,2014-12-17,,
CVE-2015-0409,2014-12-17,,
CVE-2015-0410,2014-12-17,,
CVE-2015-0411,2014-12-17,,
CVE-2015-0412,2014-12-17,,
CVE-2015-0413,2014-12-17,,
CVE-2015-0414,2014-12-17,,
CVE-2015-0415,2014-12-17,,
CVE-2015-0416,2014-12-17,,
CVE-2015-0417,2014-12-17,,
CVE-2015-0418,2014-12-17,,
CVE-2015-0419,2014-12-17,,
CVE-2015-0420,2014-12-17,,
CVE-2015-0421,2014-12-17,,
CVE-2015-0422,2014-12-17,,
CVE-2015-0423,2014-12-17,,
CVE-2015-0424,2014-12-17,,
CVE-2015-0425,2014-12-17,,
CVE-2015-0426,2014-12-17,,
CVE-2015-0427,2014-12-17,,
CVE-2015-0428,2014-12-17,,
CVE-2015-0429,2014-12-17,,
